condition,lag-1 mean,lag-1 sem,lag0 mean,lag0 sem,lag1 mean,lag1 sem
self,0.016021660542938923,0.024558289655923212,0.0016752091372271532,0.024060175034077973,0.004097291853910334,0.024396273601424417
comp,0.032962922070165594,0.01999849201706269,0.22854445660899458,0.01892643029050218,0.019296433474005368,0.027534858070598595
other,0.3501095696316543,0.03597682998545582,-0.2986404118509989,0.04367026499115249,0.3733446621179106,0.04026213814671835
leader_follower_1,0.03931514616689358,0.0319642402804207,-0.009889202233209653,0.032166375950120715,0.38033608814657105,0.04644832824056714
leader_follower_2,0.35039820504006025,0.03867500501373244,0.010719728103121327,0.03574441957362462,0.028906346915043034,0.022348113815708344
leader_follower,0.19485667560347691,0.0372758602163119,0.0004152629349558363,0.02372471594415125,0.20462121753080703,0.04048191797122137
