condition,mean_ie_time,std_ie_time,mean_freq (1/mean),mean_freq (mean of inv),std_freq
self,0.4915074488464987,0.028735610627387994,12.783499663993638,12.822623330596771,0.686619700262967
comp,0.4989811091564044,0.02481560315204735,12.59203042336045,12.622122149257594,0.6162901894159374
other,0.48979329546379996,0.04908254944142803,12.828238698591923,12.927021495305935,1.0367577687749538
leader,0.4921320593562196,0.026211002610031415,12.767274937135587,12.802766255086127,0.6691509844886863
follower,0.4925497012772971,0.032913728658345645,12.756449330668175,12.811400464789662,0.869562366470449
