c1,c2,sigma_freq,sigma_phase,P,M,delF,delTheta,cost
9.454855500420422,8.53923750029826,0.07522779190408035,0.059285434087243946,2.763366109791587,105.6665273436205,0.8294484421755154,1.5999848942953079,0.19699872880598587
9.398696422329495,8.558239806739126,0.07153057350542025,0.05906026176711146,2.7630626839116244,102.80507577847976,0.8302474586105256,1.5886805222513505,0.19111990159583978
9.448418251224348,8.58068050908187,0.0711313716784474,0.05825161024819098,2.7026818862445734,106.27189496844774,0.852053136183742,1.5914976084349848,0.18791084967538493
9.388953028800168,8.636931061136014,0.07120810751821963,0.053676131848957157,2.749120816816478,109.80583148890472,0.8473233031405533,1.5939052210363862,0.16551503267747728
9.371243486748863,8.31023210681662,0.08136109885205366,0.04688978714602033,2.747195811419264,111.04855750990805,0.8669004565094174,1.5932464018479726,0.19529693349922608
9.439263086055062,8.33130802286081,0.0798993040673363,0.04985119395311413,2.7403665346411312,111.3433187096988,0.8655672045317861,1.5920020419838936,0.15835094227521304
9.418723834416998,8.165969375677262,0.08233808934241668,0.04642106290521246,2.7743124142323934,110.97849431110328,0.8897094877526914,1.5964567769693645,0.1585163680193861
9.838913326450838,8.175304480489453,0.0832200706403829,0.04213451655410312,2.7853311638131593,119.15849652284832,0.8999783142363369,1.5962004106430865,0.1782054627784169
9.851906028300345,8.139439480368486,0.07136082273135914,0.04004478858075015,2.882200487078704,111.71835472874625,0.8941623797157252,1.599266862553099,0.17081140673071302
9.961406045693321,8.230669401024318,0.0752938848126403,0.03823174504962909,2.8038493669467766,111.34305455556604,0.8743824591743644,1.5916742800611692,0.18374547587798343
9.75439945616777,8.249789447536344,0.07866253088866637,0.03306985481578066,2.825335324467485,118.92794498959077,0.9020280153027389,1.533543951069828,0.08041302229576966
9.674384531732152,8.213333046155881,0.07445805283904179,0.03283673809328726,2.941483034639052,118.61706968245072,0.88678370715184,1.5966552559276568,0.16408897310202847
9.617426977013867,8.267239637603746,0.07451689443714164,0.031727083850674395,2.9903731246732037,126.41657304913699,0.9135094594218756,1.485359285553522,0.1218798089906474
9.707779294926866,8.26213408671711,0.07922916980960788,0.03202881353951689,2.9834166570347196,127.83523315213826,0.9741023112404409,1.475035703353446,0.0765213393997668
9.660894922061734,8.253875082000322,0.07480364489955474,0.03211448180910682,2.9904574015578334,124.46176939445206,0.9703173975904043,1.4820218651584873,0.17370856612094104
9.677775290862423,8.242976742515904,0.0748191138379155,0.031714204033071756,2.931763781997156,120.27246748474172,0.9053367180467343,1.513733772992666,0.1707478760303775
9.722174378638135,7.492559647473929,0.07618289600785266,0.036157471284257586,2.8220146448924885,119.94751599765198,0.9442825617982702,1.4683804721348057,0.17532380124338484
9.77614383447213,7.605406679878601,0.07621206966417801,0.03570815989790777,2.821771121945619,119.9857225678999,0.9897773928825238,1.4540849078874498,0.11480149225978661
9.725917090106933,7.385725954817122,0.07757313201583925,0.03976424050596996,2.947912731290366,120.39329543401392,0.9450712545317154,1.4610747596549203,0.18387115786934508
9.648162543424032,7.638834969478371,0.07813489307864814,0.03708115424228092,2.99751141059078,120.06004838712157,0.9347851266762892,1.4352841156964615,0.1898103233269215
9.661587192380347,8.3417914125707,0.08016313744242298,0.02933685332299345,2.8925194832817476,125.11031243762909,0.9796922256770791,1.5224336850980633,0.09942919578940215
9.998498305390141,8.41765498520674,0.07793189522491527,0.029933696330666684,2.8894839073224006,125.63056661393898,0.9907346574925897,1.5242765326712329,0.13259524119173455
9.85032542533968,7.262181463134205,0.07979578188888667,0.03391632909797072,2.9010548917890704,125.86896049491159,0.9850183245176114,1.4283077683396348,0.10767661444684945
9.976440568090558,7.221276172829378,0.07817650800239792,0.03559675474418409,2.894895667114761,126.21684146653533,0.9820003247392282,1.4451090839348086,0.12022052674501593
9.960306533628875,7.130552500570114,0.07918700627346542,0.03336137945871716,2.9024866505412223,127.91168466851117,0.9836206116032149,1.4340722534703514,0.17116249508516104
9.994938208302798,7.309483018373081,0.07890897409607989,0.033957245278692746,2.893933566376452,125.68688552493556,0.9806824224201975,1.4282426774296295,0.16246815742847945
9.987778737822604,7.247053993429171,0.08006716427566193,0.033565005109916606,2.892310855429585,127.95766848965106,0.9837623417967994,1.429857254913132,0.16480179678559445
9.969760482347995,7.128669230316921,0.0857203371743295,0.03414152662174079,2.9019044752148857,126.00849362745033,0.9874276515619488,1.4386894440433764,0.18522689354102578
9.952750875009016,7.07267091278748,0.08631763534312131,0.033776251612719924,2.897277968070581,127.75060961489983,0.9820805041252212,1.4220894037382887,0.19616890568845408
9.988961252284298,7.297130958121258,0.08021419881629041,0.030133753293729686,2.9047463457591034,125.08103024807235,0.9903761029624818,1.4307962174854028,0.15628307220329513
9.953873433064995,7.012728051768143,0.0800031991345089,0.029728403958015324,2.9462961181668437,123.84419442229272,0.9995679774511217,1.498458951549253,0.1199867937868842
9.834124018211622,6.962639180524926,0.0796289493208205,0.028851680469673055,2.947596848245917,122.89185796016761,0.9640309051655145,1.4229633182151427,0.16087636863436308
9.798234142541558,7.3241771335371215,0.07918511151155544,0.02741357618939049,2.8833451638520677,125.67505434889954,0.9980905883515313,1.411131194543791,0.1338916947599927
9.815271728881058,7.28000717191392,0.07853319382946757,0.02608646795209906,2.919432791658969,125.65549472508079,0.9762682033151449,1.4060455562759506,0.09591206103772074
9.993722238184397,7.284107537824258,0.07919048579393662,0.02686050524728591,2.9120037541030004,125.50706751934815,0.9980001613239315,1.4011287034998023,0.11357854840763151
9.987580194579847,7.262668634442369,0.07867862753995304,0.020932523448614116,2.902825803983292,127.9996215887452,0.9972433304838415,1.3840517186967844,0.11795008531231502
9.967179570812494,7.2949597300483555,0.07941156244629848,0.020189400373844573,2.8956087932349375,127.43302742803388,0.9992062778868034,1.3951313850950695,0.08609347683911289
9.997582908482963,7.220840888857086,0.07831069999428288,0.026581159449907965,2.8706827867923024,122.87148244966363,0.963170246197232,1.3890468286293594,0.14006184778992853
9.952802006502058,6.6740178784745146,0.07837583739165528,0.021318065374489,2.8637263506464623,122.78116640371363,0.9950480950259011,1.3951374460300747,0.11576736165737911
9.97230139618964,6.687271414439202,0.07871869878961014,0.020656644440028817,2.8697305913271056,122.88836688635088,0.9979507174510723,1.3958066688468815,0.12354081002020098
9.934712318888385,6.658384815877183,0.07953279555441738,0.02108549671885334,2.845661869698396,123.00100085595471,0.9947767738652797,1.3745689881337708,0.14899037207536892
9.806877088024002,6.37148207918844,0.07755188454628531,0.026465140738844792,2.962750578032246,123.06323341804791,0.9986946243598294,1.3849813018641421,0.1388167839174918
9.964230702277737,6.328889942270624,0.07784656641285607,0.02698771111564834,2.9652393674131785,122.92186226427258,0.9989070047896659,1.322801091354829,0.11740381606577316
