noise std,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.0,0.4898787859530408,0.4918506435368413,0.49638159911969904,0.4981366199781286,0.4987634344517577,0.49908224274699736,0.49927773236419465,0.4994105845501756,0.4995068241030612,0.4995796517786217,0.4996365475856996
0.1,0.48988176117285787,0.4918484862232025,0.49638028635239867,0.498137585074805,0.49876455652315166,0.4990817334813408,0.49927796201671115,0.49941160388425804,0.4995062044433225,0.49958075689019804,0.4996372156998093
0.2,0.489883959504269,0.4918595244974429,0.4963854191050103,0.4981386132650755,0.49876270290207864,0.49908367216940264,0.4992785210520045,0.49940858141314876,0.49950514423314885,0.49957913799016235,0.4996359350881967
0.3,0.48987790312236124,0.4918572600705229,0.496375537505152,0.49813737535589364,0.4987633649285951,0.49908140571546505,0.4992786497385631,0.4994090449687494,0.4995065829843065,0.4995776826000289,0.49963728147441416
0.4,0.4898777435682659,0.49184355796929585,0.4963638470592603,0.4981363732127026,0.4987668849085239,0.49908028536284843,0.49927792556671385,0.49940426623580747,0.49950561681677147,0.49957995700940044,0.49963195052442705
0.5,0.489897431244139,0.4918293644541141,0.49637923500707987,0.4981303175697374,0.4987606409593354,0.4990807074381371,0.4992787186191929,0.49941107011413044,0.4995055868882133,0.49958280762655777,0.4996394451097435
0.6,0.48984299311314544,0.49183424601909953,0.49636516268421066,0.4981302432523731,0.4987629117365566,0.49907762789143245,0.49928044654810955,0.4994099487653162,0.49950433709640724,0.4995826809747511,0.49963435766256187
0.7,0.489884658945143,0.491810682741409,0.49640129172631664,0.49814093207305404,0.4987515814332068,0.49908645540618796,0.4992777040236538,0.49941504451964186,0.4995175531658438,0.49958282619534095,0.49964075039801464
0.8,0.48991308398295164,0.4917742520609761,0.49636632512778306,0.49813317958583,0.498772731533817,0.4990904122991074,0.4992727416760422,0.49941093487607113,0.49950954965296795,0.49958133567346175,0.49963694057258307
0.9,0.4898636340093607,0.491884472375546,0.49635366862557073,0.49812657636684377,0.49876996637668347,0.49907768079622866,0.4992749184436757,0.4994298831781206,0.4995022629870911,0.49958310356448166,0.4996326349819119
