N is 4
N is 4
omega has size 1
omega has size 2
omega has size 3
omega has size 4
theta has size 1theta has size 2theta has size 3theta has size 4theta has size 40, 12.6858, dt0
5.617, 14.2966, dt0
5.617, 13.4345, dt1
5.617, 9.88812, dt2
5.617, 9.19652, dt3
5.618, 14.4678, dt0
5.618, 14.1383, dt1
5.618, 9.78951, dt2
5.618, 11.528, dt3
5.619, 13.496, dt0
5.619, 14.2889, dt1
5.619, 9.91366, dt2
5.619, 10.246, dt3
5.62, 13.8909, dt0
5.62, 13.3291, dt1
5.62, 9.97612, dt2
5.62, 9.85767, dt3
5.621, 13.8971, dt0
5.621, 14.2361, dt1
5.621, 10.0692, dt2
5.621, 10.6143, dt3
5.622, 13.6935, dt0
5.622, 13.6168, dt1
5.622, 10.6884, dt2
5.622, 9.63726, dt3
5.623, 14.2123, dt0
5.623, 14.0226, dt1
5.623, 10.8078, dt2
5.623, 10.2059, dt3
5.624, 14.9826, dt0
5.624, 13.6751, dt1
5.624, 9.21431, dt2
5.624, 9.64188, dt3
5.625, 14.282, dt0
5.625, 14.5675, dt1
5.625, 10.3289, dt2
5.625, 10.2666, dt3
5.626, 14.5932, dt0
5.626, 14.4254, dt1
5.626, 9.86154, dt2
5.626, 10.1941, dt3
5.627, 13.981, dt0
5.627, 14.2163, dt1
5.627, 10.1207, dt2
5.627, 10.373, dt3
5.628, 13.6976, dt0
5.628, 14.1379, dt1
5.628, 9.3392, dt2
5.628, 9.40709, dt3
5.629, 15.0207, dt0
5.629, 13.5195, dt1
5.629, 10.5056, dt2
5.629, 10.3746, dt3
5.63, 13.8497, dt0
5.63, 14.526, dt1
5.63, 9.46068, dt2
5.63, 10.1121, dt3
5.631, 13.9998, dt0
5.631, 13.7165, dt1
5.631, 10.3926, dt2
5.631, 10.312, dt3
5.632, 14.4699, dt0
5.632, 13.4439, dt1
5.632, 9.67771, dt2
5.632, 10.2392, dt3
5.633, 14.5, dt0
5.633, 13.4749, dt1
5.633, 9.91486, dt2
5.633, 9.9356, dt3
5.634, 13.6544, dt0
5.634, 14.1345, dt1
5.634, 10.6993, dt2
5.634, 10.2927, dt3
5.635, 13.5785, dt0
5.635, 13.4823, dt1
5.635, 9.61537, dt2
5.635, 10.5135, dt3
5.636, 13.606, dt0
5.636, 14.1707, dt1
5.636, 10.0138, dt2
5.636, 10.0592, dt3
5.637, 14.2895, dt0
5.637, 13.4505, dt1
5.637, 9.63256, dt2
5.637, 9.94947, dt3
5.638, 13.3004, dt0
5.638, 14.8465, dt1
5.638, 9.99928, dt2
5.638, 9.59357, dt3
5.639, 13.5808, dt0
5.639, 13.5537, dt1
5.639, 9.73687, dt2
5.639, 10.1932, dt3
5.64, 13.6487, dt0
5.64, 13.7995, dt1
5.64, 10.009, dt2
5.64, 9.79132, dt3
5.641, 13.516, dt0
5.641, 13.8612, dt1
5.641, 10.2984, dt2
5.641, 9.42127, dt3
5.642, 13.2086, dt0
5.642, 14.0929, dt1
5.642, 10.308, dt2
5.642, 9.92797, dt3
5.643, 12.6481, dt0
5.643, 14.5993, dt1
5.643, 9.15121, dt2
5.643, 9.97634, dt3
5.644, 13.5589, dt0
5.644, 13.0825, dt1
5.644, 10.2704, dt2
5.644, 9.86434, dt3
5.645, 14.1373, dt0
5.645, 13.0196, dt1
5.645, 10.5495, dt2
5.645, 10.4646, dt3
5.646, 14.1999, dt0
5.646, 14.065, dt1
5.646, 10.2406, dt2
5.646, 9.88782, dt3
5.647, 13.7087, dt0
5.647, 13.9153, dt1
5.647, 10.304, dt2
5.647, 9.62047, dt3
5.648, 13.6146, dt0
5.648, 14.6901, dt1
5.648, 10.1754, dt2
5.648, 10.5275, dt3
5.649, 14.1562, dt0
5.649, 14.5434, dt1
5.649, 10.0274, dt2
5.649, 9.8552, dt3
5.65, 13.9031, dt0
5.65, 13.4621, dt1
5.65, 10.7188, dt2
5.65, 10.4251, dt3
5.651, 14.4005, dt0
5.651, 14.2516, dt1
5.651, 10.07, dt2
5.651, 10.174, dt3
5.652, 14.0836, dt0
5.652, 13.3481, dt1
5.652, 9.48829, dt2
5.652, 9.89957, dt3
5.653, 13.6851, dt0
5.653, 14.1893, dt1
5.653, 10.1789, dt2
5.653, 10.691, dt3
5.654, 14.789, dt0
5.654, 14.2896, dt1
5.654, 10.0109, dt2
5.654, 10.6368, dt3
5.655, 13.7783, dt0
5.655, 13.8001, dt1
5.655, 9.79917, dt2
5.655, 10.5455, dt3
5.656, 13.5622, dt0
5.656, 13.8546, dt1
5.656, 10.0073, dt2
5.656, 9.90086, dt3
5.657, 13.8497, dt0
5.657, 13.9957, dt1
5.657, 9.83204, dt2
5.657, 10.6058, dt3
5.658, 14.8677, dt0
5.658, 13.8961, dt1
5.658, 10.8292, dt2
5.658, 10.3359, dt3
5.659, 13.8097, dt0
5.659, 14.0519, dt1
5.659, 10.2637, dt2
5.659, 9.36414, dt3
5.66, 13.7355, dt0
5.66, 14.2202, dt1
5.66, 9.97434, dt2
5.66, 9.75864, dt3
5.661, 13.9517, dt0
5.661, 12.9524, dt1
5.661, 10.0321, dt2
5.661, 9.96025, dt3
5.662, 13.4668, dt0
5.662, 14.4808, dt1
5.662, 10.2418, dt2
5.662, 10.3259, dt3
5.663, 14.3635, dt0
5.663, 13.4296, dt1
5.663, 10.9401, dt2
5.663, 9.89336, dt3
5.664, 13.1859, dt0
5.664, 14.1655, dt1
5.664, 10.6547, dt2
5.664, 9.69333, dt3
5.665, 13.9001, dt0
5.665, 14.0233, dt1
5.665, 9.92992, dt2
5.665, 10.6413, dt3
5.666, 13.4154, dt0
5.666, 14.732, dt1
5.666, 9.34762, dt2
5.666, 10.026, dt3
5.667, 13.987, dt0
5.667, 14.3217, dt1
5.667, 10.4397, dt2
5.667, 9.88506, dt3
5.668, 14.5236, dt0
5.668, 14.6037, dt1
5.668, 9.65918, dt2
5.668, 10.8692, dt3
5.669, 13.9944, dt0
5.669, 14.2255, dt1
5.669, 9.74895, dt2
5.669, 9.85419, dt3
5.67, 14.0116, dt0
5.67, 13.5556, dt1
5.67, 9.92201, dt2
5.67, 9.32728, dt3
5.671, 13.6739, dt0
5.671, 14.1711, dt1
5.671, 10.2755, dt2
5.671, 9.7371, dt3
5.672, 13.8843, dt0
5.672, 13.9857, dt1
5.672, 10.3134, dt2
5.672, 9.89124, dt3
5.673, 13.2284, dt0
5.673, 14.0646, dt1
5.673, 10.2165, dt2
5.673, 9.40681, dt3
5.674, 13.8046, dt0
5.674, 13.7233, dt1
5.674, 10.4298, dt2
5.674, 10.0921, dt3
5.675, 14.2018, dt0
5.675, 14.8555, dt1
5.675, 10.3403, dt2
5.675, 10.2845, dt3
5.676, 14.3402, dt0
5.676, 14.3321, dt1
5.676, 9.95987, dt2
5.676, 9.78306, dt3
5.677, 13.9639, dt0
5.677, 14.0255, dt1
5.677, 9.47059, dt2
5.677, 10.3041, dt3
5.678, 13.8638, dt0
5.678, 13.7274, dt1
5.678, 10.1912, dt2
5.678, 10.7642, dt3
5.679, 13.8932, dt0
5.679, 13.1924, dt1
5.679, 10.4647, dt2
5.679, 9.8383, dt3
5.68, 13.8884, dt0
5.68, 14.3475, dt1
5.68, 10.1427, dt2
5.68, 10.5449, dt3
5.681, 14.7543, dt0
5.681, 13.4881, dt1
5.681, 10.3904, dt2
5.681, 9.74764, dt3
5.682, 13.4422, dt0
5.682, 13.2123, dt1
5.682, 10.4162, dt2
5.682, 9.94074, dt3
5.683, 13.3034, dt0
5.683, 13.3735, dt1
5.683, 10.2539, dt2
5.683, 9.6064, dt3
5.684, 13.9606, dt0
5.684, 13.2747, dt1
5.684, 10.3469, dt2
5.684, 10.2982, dt3
5.685, 13.8002, dt0
5.685, 14.0628, dt1
5.685, 10.0862, dt2
5.685, 9.75186, dt3
5.686, 13.6617, dt0
5.686, 14.7292, dt1
5.686, 9.47051, dt2
5.686, 9.68833, dt3
5.687, 13.7557, dt0
5.687, 13.2589, dt1
5.687, 10.0365, dt2
5.687, 10.5031, dt3
5.688, 13.9456, dt0
5.688, 14.1056, dt1
5.688, 9.88832, dt2
5.688, 11.0084, dt3
5.689, 13.6574, dt0
5.689, 12.996, dt1
5.689, 9.36961, dt2
5.689, 9.04675, dt3
5.69, 13.5167, dt0
5.69, 13.6886, dt1
5.69, 9.77336, dt2
5.69, 9.40915, dt3
5.691, 13.3304, dt0
5.691, 13.8752, dt1
5.691, 9.27289, dt2
5.691, 9.58848, dt3
5.692, 13.2665, dt0
5.692, 13.6019, dt1
5.692, 10.637, dt2
5.692, 10.0349, dt3
5.693, 13.0456, dt0
5.693, 14.067, dt1
5.693, 9.94484, dt2
5.693, 10.5702, dt3
5.694, 14.7942, dt0
5.694, 14.6719, dt1
5.694, 10.6811, dt2
5.694, 10.0469, dt3
5.695, 13.7117, dt0
5.695, 13.278, dt1
5.695, 9.96688, dt2
5.695, 10.7096, dt3
5.696, 12.9821, dt0
5.696, 13.9449, dt1
5.696, 10.7378, dt2
5.696, 10.6979, dt3
5.697, 13.2147, dt0
5.697, 13.7577, dt1
5.697, 9.88838, dt2
5.697, 10.2675, dt3
5.698, 13.9984, dt0
5.698, 13.1573, dt1
5.698, 9.59838, dt2
5.698, 10.5295, dt3
5.699, 13.9512, dt0
5.699, 14.2171, dt1
5.699, 10.1589, dt2
5.699, 9.78608, dt3
5.7, 13.9347, dt0
5.7, 14.1329, dt1
5.7, 9.6924, dt2
5.7, 10.1282, dt3
5.701, 14.6519, dt0
5.701, 14.0245, dt1
5.701, 10.6894, dt2
5.701, 10.407, dt3
5.702, 14.0045, dt0
5.702, 14.2474, dt1
5.702, 10.2825, dt2
5.702, 10.5594, dt3
5.703, 14.2516, dt0
5.703, 14.5562, dt1
5.703, 9.74898, dt2
5.703, 10.294, dt3
5.704, 14.0281, dt0
5.704, 13.9237, dt1
5.704, 10.0309, dt2
5.704, 10.017, dt3
5.705, 14.5726, dt0
5.705, 14.0997, dt1
5.705, 10.6317, dt2
5.705, 10.7731, dt3
5.706, 13.4315, dt0
5.706, 14.5794, dt1
5.706, 10.9839, dt2
5.706, 10.0707, dt3
5.707, 14.451, dt0
5.707, 14.3969, dt1
5.707, 10.5435, dt2
5.707, 10.6055, dt3
5.708, 14.0407, dt0
5.708, 13.6126, dt1
5.708, 10.035, dt2
5.708, 10.0411, dt3
5.709, 14.0411, dt0
5.709, 14.0726, dt1
5.709, 9.52427, dt2
5.709, 10.5981, dt3
5.71, 13.0938, dt0
5.71, 12.9967, dt1
5.71, 9.89681, dt2
5.71, 10.0894, dt3
5.711, 13.9156, dt0
5.711, 14.0327, dt1
5.711, 10.0501, dt2
5.711, 9.91416, dt3
5.712, 13.2458, dt0
5.712, 14.537, dt1
5.712, 10.117, dt2
5.712, 10.1065, dt3
5.713, 13.6358, dt0
5.713, 13.8108, dt1
5.713, 9.67255, dt2
5.713, 10.22, dt3
5.714, 14.1988, dt0
5.714, 13.4852, dt1
5.714, 9.44857, dt2
5.714, 10.3496, dt3
5.715, 13.9188, dt0
5.715, 14.1144, dt1
5.715, 10.9483, dt2
5.715, 9.97929, dt3
5.716, 14.213, dt0
5.716, 13.9837, dt1
5.716, 10.3724, dt2
5.716, 10.0236, dt3
5.717, 13.3916, dt0
5.717, 14.221, dt1
5.717, 10.0482, dt2
5.717, 9.46695, dt3
5.718, 14.3558, dt0
5.718, 13.737, dt1
5.718, 10.0218, dt2
5.718, 11.0223, dt3
5.719, 13.982, dt0
5.719, 14.45, dt1
5.719, 9.95179, dt2
5.719, 10.3373, dt3
5.72, 13.5618, dt0
5.72, 13.4613, dt1
5.72, 9.61356, dt2
5.72, 10.7237, dt3
5.721, 14.0915, dt0
5.721, 13.8797, dt1
5.721, 9.49661, dt2
5.721, 10.8889, dt3
5.722, 13.3877, dt0
5.722, 13.8134, dt1
5.722, 9.44584, dt2
5.722, 10.1966, dt3
5.723, 13.9619, dt0
5.723, 14.0708, dt1
5.723, 10.488, dt2
5.723, 9.70687, dt3
5.724, 14.334, dt0
5.724, 13.9719, dt1
5.724, 9.2132, dt2
5.724, 9.43135, dt3
5.725, 14.181, dt0
5.725, 13.9971, dt1
5.725, 10.8175, dt2
5.725, 10.6812, dt3
5.726, 13.8329, dt0
5.726, 13.1652, dt1
5.726, 10.1075, dt2
5.726, 10.3285, dt3
5.727, 13.3286, dt0
5.727, 13.7218, dt1
5.727, 10.7546, dt2
5.727, 10.6827, dt3
5.728, 13.6954, dt0
5.728, 14.0557, dt1
5.728, 10.5478, dt2
5.728, 10.5224, dt3
5.729, 14.3627, dt0
5.729, 13.6215, dt1
5.729, 10.0512, dt2
5.729, 10.1167, dt3
5.73, 13.6378, dt0
5.73, 14.2813, dt1
5.73, 10.0032, dt2
5.73, 10.0323, dt3
5.731, 14.4684, dt0
5.731, 13.7511, dt1
5.731, 10.167, dt2
5.731, 9.77434, dt3
5.732, 14.0061, dt0
5.732, 13.5559, dt1
5.732, 9.0986, dt2
5.732, 10.2241, dt3
5.733, 14.0099, dt0
5.733, 13.4705, dt1
5.733, 10.0303, dt2
5.733, 10.6726, dt3
5.734, 13.7477, dt0
5.734, 13.1263, dt1
5.734, 9.71211, dt2
5.734, 9.82185, dt3
5.735, 14.3255, dt0
5.735, 14.2213, dt1
5.735, 10.1785, dt2
5.735, 10.0622, dt3
5.736, 13.5642, dt0
5.736, 14.56, dt1
5.736, 10.5846, dt2
5.736, 10.751, dt3
5.737, 14.0445, dt0
5.737, 14.0368, dt1
5.737, 10.8948, dt2
5.737, 10.8478, dt3
5.738, 13.0209, dt0
5.738, 13.6525, dt1
5.738, 9.471, dt2
5.738, 10.5398, dt3
5.739, 13.9148, dt0
5.739, 13.3961, dt1
5.739, 10.4839, dt2
5.739, 10.0477, dt3
5.74, 12.9317, dt0
5.74, 13.9467, dt1
5.74, 9.84196, dt2
5.74, 10.1888, dt3
5.741, 13.4819, dt0
5.741, 13.9687, dt1
5.741, 10.0278, dt2
5.741, 10.1817, dt3
5.742, 13.9158, dt0
5.742, 13.8775, dt1
5.742, 9.00903, dt2
5.742, 9.99795, dt3
5.743, 13.7158, dt0
5.743, 14.3717, dt1
5.743, 10.2759, dt2
5.743, 9.80517, dt3
5.744, 13.2288, dt0
5.744, 13.6051, dt1
5.744, 10.4947, dt2
5.744, 10.045, dt3
5.745, 13.8651, dt0
5.745, 14.0272, dt1
5.745, 9.89225, dt2
5.745, 10.2544, dt3
5.746, 12.7597, dt0
5.746, 14.0303, dt1
5.746, 10.1756, dt2
5.746, 10.4654, dt3
5.747, 13.7643, dt0
5.747, 13.6174, dt1
5.747, 10.7582, dt2
5.747, 10.2572, dt3
5.748, 13.4212, dt0
5.748, 14.4236, dt1
5.748, 9.91542, dt2
5.748, 11.6081, dt3
5.749, 13.3575, dt0
5.749, 13.8822, dt1
5.749, 9.4386, dt2
5.749, 9.75158, dt3
5.75, 14.0472, dt0
5.75, 14.0577, dt1
5.75, 10.9048, dt2
5.75, 10.7623, dt3
5.751, 12.8837, dt0
5.751, 13.8175, dt1
5.751, 10.1979, dt2
5.751, 10.2113, dt3
5.752, 13.5638, dt0
5.752, 13.6135, dt1
5.752, 9.82485, dt2
5.752, 10.4966, dt3
5.753, 13.2467, dt0
5.753, 13.6504, dt1
5.753, 9.97615, dt2
5.753, 10.6403, dt3
5.754, 13.6962, dt0
5.754, 13.4012, dt1
5.754, 10.1349, dt2
5.754, 10.571, dt3
5.755, 14.3236, dt0
5.755, 14.5016, dt1
5.755, 9.60052, dt2
5.755, 10.6967, dt3
5.756, 14.1472, dt0
5.756, 14.2664, dt1
5.756, 10.6055, dt2
5.756, 10.1416, dt3
5.757, 13.2802, dt0
5.757, 14.0297, dt1
5.757, 9.3429, dt2
5.757, 11.0849, dt3
5.758, 13.6105, dt0
5.758, 13.3728, dt1
5.758, 10.7924, dt2
5.758, 10.2765, dt3
5.759, 14.1445, dt0
5.759, 14.3518, dt1
5.759, 9.84953, dt2
5.759, 11.0514, dt3
5.76, 13.5272, dt0
5.76, 13.852, dt1
5.76, 10.1587, dt2
5.76, 9.70682, dt3
5.761, 13.5563, dt0
5.761, 12.8965, dt1
5.761, 9.97143, dt2
5.761, 9.97868, dt3
5.762, 13.7918, dt0
5.762, 14.126, dt1
5.762, 9.75992, dt2
5.762, 9.70151, dt3
5.763, 14.4104, dt0
5.763, 14.0115, dt1
5.763, 10.2459, dt2
5.763, 10.2891, dt3
5.764, 13.9739, dt0
5.764, 13.7984, dt1
5.764, 9.94676, dt2
5.764, 10.9501, dt3
5.765, 13.4374, dt0
5.765, 13.5783, dt1
5.765, 10.923, dt2
5.765, 10.3631, dt3
5.766, 13.8756, dt0
5.766, 14.7855, dt1
5.766, 10.2947, dt2
5.766, 9.97959, dt3
5.767, 13.9156, dt0
5.767, 14.0961, dt1
5.767, 10.8308, dt2
5.767, 10.6236, dt3
5.768, 13.0101, dt0
5.768, 13.279, dt1
5.768, 10.4425, dt2
5.768, 10.6701, dt3
5.769, 13.503, dt0
5.769, 14.75, dt1
5.769, 9.54942, dt2
5.769, 10.5084, dt3
5.77, 13.7155, dt0
5.77, 13.0376, dt1
5.77, 10.39, dt2
5.77, 11.5292, dt3
5.771, 12.9911, dt0
5.771, 13.5559, dt1
5.771, 10.7894, dt2
5.771, 10.2696, dt3
5.772, 13.6036, dt0
5.772, 15.0751, dt1
5.772, 10.2847, dt2
5.772, 11.1119, dt3
5.773, 13.5052, dt0
5.773, 13.851, dt1
5.773, 10.4983, dt2
5.773, 10.0593, dt3
5.774, 13.9636, dt0
5.774, 13.3047, dt1
5.774, 10.4767, dt2
5.774, 11.5371, dt3
5.775, 14.1961, dt0
5.775, 14.4215, dt1
5.775, 9.69556, dt2
5.775, 10.4252, dt3
5.776, 14.1073, dt0
5.776, 13.478, dt1
5.776, 10.16, dt2
5.776, 9.93991, dt3
5.777, 13.766, dt0
5.777, 14.4778, dt1
5.777, 9.80094, dt2
5.777, 10.3921, dt3
5.778, 13.6347, dt0
5.778, 13.3426, dt1
5.778, 10.6002, dt2
5.778, 10.0391, dt3
5.779, 14.2334, dt0
5.779, 14.0238, dt1
5.779, 10.0311, dt2
5.779, 9.91189, dt3
5.78, 14.0841, dt0
5.78, 13.5944, dt1
5.78, 9.61043, dt2
5.78, 10.1945, dt3
5.781, 12.916, dt0
5.781, 13.6689, dt1
5.781, 9.51301, dt2
5.781, 10.5076, dt3
5.782, 14.1294, dt0
5.782, 13.4808, dt1
5.782, 10.3722, dt2
5.782, 10.5246, dt3
5.783, 13.5781, dt0
5.783, 13.7634, dt1
5.783, 9.79178, dt2
5.783, 10.3733, dt3
5.784, 13.2222, dt0
5.784, 14.2088, dt1
5.784, 9.60503, dt2
5.784, 10.5429, dt3
5.785, 13.0589, dt0
5.785, 13.6038, dt1
5.785, 10.1117, dt2
5.785, 10.5079, dt3
5.786, 13.7826, dt0
5.786, 13.3203, dt1
5.786, 10.5788, dt2
5.786, 10.46, dt3
5.787, 13.6565, dt0
5.787, 13.6588, dt1
5.787, 10.1417, dt2
5.787, 9.96136, dt3
5.788, 13.8542, dt0
5.788, 13.9535, dt1
5.788, 10.6192, dt2
5.788, 10.433, dt3
5.789, 13.3127, dt0
5.789, 14.7929, dt1
5.789, 9.42906, dt2
5.789, 10.9319, dt3
5.79, 13.3673, dt0
5.79, 13.476, dt1
5.79, 10.3782, dt2
5.79, 10.4627, dt3
5.791, 14.2117, dt0
5.791, 14.2967, dt1
5.791, 9.64582, dt2
5.791, 10.2041, dt3
5.792, 14.0042, dt0
5.792, 14.2514, dt1
5.792, 10.5368, dt2
5.792, 10.9105, dt3
5.793, 13.6259, dt0
5.793, 14.096, dt1
5.793, 10.1471, dt2
5.793, 10.1001, dt3
5.794, 13.2976, dt0
5.794, 13.3255, dt1
5.794, 10.9215, dt2
5.794, 10.5252, dt3
5.795, 13.894, dt0
5.795, 14.199, dt1
5.795, 9.18929, dt2
5.795, 10.1326, dt3
5.796, 13.3824, dt0
5.796, 14.5654, dt1
5.796, 10.2195, dt2
5.796, 10.1429, dt3
5.797, 14.7495, dt0
5.797, 13.4976, dt1
5.797, 10.1209, dt2
5.797, 10.4527, dt3
5.798, 13.824, dt0
5.798, 13.2406, dt1
5.798, 10.4074, dt2
5.798, 9.76168, dt3
5.799, 12.7424, dt0
5.799, 13.5584, dt1
5.799, 9.65683, dt2
5.799, 10.4054, dt3
5.8, 13.9478, dt0
5.8, 12.5452, dt1
5.8, 10.251, dt2
5.8, 10.3815, dt3
5.801, 14.2415, dt0
5.801, 14.1936, dt1
5.801, 10.507, dt2
5.801, 10.5107, dt3
5.802, 13.6175, dt0
5.802, 12.7787, dt1
5.802, 10.2433, dt2
5.802, 10.4988, dt3
5.803, 13.6574, dt0
5.803, 13.4611, dt1
5.803, 10.7372, dt2
5.803, 10.4558, dt3
5.804, 13.7035, dt0
5.804, 13.1108, dt1
5.804, 10.5711, dt2
5.804, 9.42389, dt3
5.805, 13.0739, dt0
5.805, 14.7097, dt1
5.805, 10.6788, dt2
5.805, 10.7156, dt3
5.806, 13.3944, dt0
5.806, 14.2379, dt1
5.806, 9.40032, dt2
5.806, 9.93371, dt3
5.807, 13.7349, dt0
5.807, 13.9821, dt1
5.807, 10.7699, dt2
5.807, 10.16, dt3
5.808, 13.0545, dt0
5.808, 14.1456, dt1
5.808, 9.8926, dt2
5.808, 11.3095, dt3
5.809, 13.7282, dt0
5.809, 14.6338, dt1
5.809, 10.9166, dt2
5.809, 9.83284, dt3
5.81, 13.8238, dt0
5.81, 13.4747, dt1
5.81, 10.8098, dt2
5.81, 10.0177, dt3
5.811, 13.1795, dt0
5.811, 13.6196, dt1
5.811, 10.5086, dt2
5.811, 10.3584, dt3
5.812, 13.0647, dt0
5.812, 14.2144, dt1
5.812, 9.8291, dt2
5.812, 10.7299, dt3
5.813, 13.82, dt0
5.813, 13.9088, dt1
5.813, 10.6982, dt2
5.813, 11.538, dt3
5.814, 13.7341, dt0
5.814, 14.0943, dt1
5.814, 10.17, dt2
5.814, 10.0319, dt3
5.815, 12.7802, dt0
5.815, 14.0685, dt1
5.815, 10.0498, dt2
5.815, 11.298, dt3
5.816, 13.2294, dt0
5.816, 13.7557, dt1
5.816, 10.3085, dt2
5.816, 10.0836, dt3
5.817, 13.6506, dt0
5.817, 13.3123, dt1
5.817, 10.2829, dt2
5.817, 10.7316, dt3
5.818, 13.6796, dt0
5.818, 13.3454, dt1
5.818, 10.3183, dt2
5.818, 10.393, dt3
5.819, 13.341, dt0
5.819, 13.8924, dt1
5.819, 10.325, dt2
5.819, 11.2558, dt3
5.82, 12.9706, dt0
5.82, 13.5515, dt1
5.82, 10.4113, dt2
5.82, 10.3076, dt3
5.821, 12.7962, dt0
5.821, 14.0397, dt1
5.821, 10.1812, dt2
5.821, 10.8469, dt3
5.822, 13.6679, dt0
5.822, 13.8753, dt1
5.822, 10.5675, dt2
5.822, 10.2095, dt3
5.823, 13.145, dt0
5.823, 13.4105, dt1
5.823, 9.95669, dt2
5.823, 10.172, dt3
5.824, 13.371, dt0
5.824, 14.2718, dt1
5.824, 10.8541, dt2
5.824, 10.0901, dt3
5.825, 13.6071, dt0
5.825, 14.048, dt1
5.825, 10.6696, dt2
5.825, 10.8886, dt3
5.826, 13.5528, dt0
5.826, 14.1844, dt1
5.826, 10.0817, dt2
5.826, 10.7601, dt3
5.827, 13.73, dt0
5.827, 13.3178, dt1
5.827, 9.99489, dt2
5.827, 10.438, dt3
5.828, 13.5194, dt0
5.828, 13.2517, dt1
5.828, 9.95442, dt2
5.828, 10.5198, dt3
5.829, 13.7184, dt0
5.829, 14.3154, dt1
5.829, 10.9894, dt2
5.829, 9.95301, dt3
5.83, 13.9092, dt0
5.83, 14.0864, dt1
5.83, 10.3234, dt2
5.83, 10.7869, dt3
5.831, 13.3244, dt0
5.831, 14.0117, dt1
5.831, 9.89299, dt2
5.831, 10.9894, dt3
5.832, 13.97, dt0
5.832, 13.892, dt1
5.832, 10.3279, dt2
5.832, 10.8082, dt3
5.833, 14.1812, dt0
5.833, 14.2614, dt1
5.833, 10.1514, dt2
5.833, 9.84992, dt3
5.834, 13.6905, dt0
5.834, 14.0016, dt1
5.834, 10.202, dt2
5.834, 9.68198, dt3
5.835, 13.6522, dt0
5.835, 13.9059, dt1
5.835, 10.8944, dt2
5.835, 10.0405, dt3
5.836, 13.3966, dt0
5.836, 13.5489, dt1
5.836, 10.4268, dt2
5.836, 10.8478, dt3
5.837, 13.4634, dt0
5.837, 13.2921, dt1
5.837, 10.6208, dt2
5.837, 9.79678, dt3
5.838, 14.091, dt0
5.838, 13.959, dt1
5.838, 10.3319, dt2
5.838, 9.51814, dt3
5.839, 13.1021, dt0
5.839, 13.8487, dt1
5.839, 10.5692, dt2
5.839, 10.3754, dt3
5.84, 14.2952, dt0
5.84, 14.3695, dt1
5.84, 10.49, dt2
5.84, 10.3581, dt3
5.841, 13.8175, dt0
5.841, 14.2097, dt1
5.841, 9.83432, dt2
5.841, 11.219, dt3
5.842, 13.6861, dt0
5.842, 13.5531, dt1
5.842, 9.94235, dt2
5.842, 11.1915, dt3
5.843, 14.0309, dt0
5.843, 14.5923, dt1
5.843, 10.5435, dt2
5.843, 9.75193, dt3
5.844, 13.9051, dt0
5.844, 13.0743, dt1
5.844, 10.1483, dt2
5.844, 10.5915, dt3
5.845, 14.5753, dt0
5.845, 13.8566, dt1
5.845, 10.1351, dt2
5.845, 9.95511, dt3
5.846, 13.8178, dt0
5.846, 14.4195, dt1
5.846, 9.98692, dt2
5.846, 9.75342, dt3
5.847, 14.2855, dt0
5.847, 14.1134, dt1
5.847, 10.2128, dt2
5.847, 10.7458, dt3
5.848, 13.856, dt0
5.848, 13.8148, dt1
5.848, 9.46972, dt2
5.848, 10.0079, dt3
5.849, 13.8638, dt0
5.849, 13.2429, dt1
5.849, 10.2904, dt2
5.849, 11.2148, dt3
5.85, 13.4706, dt0
5.85, 14.3273, dt1
5.85, 10.556, dt2
5.85, 9.86409, dt3
5.851, 13.3056, dt0
5.851, 13.9687, dt1
5.851, 10.2095, dt2
5.851, 10.8246, dt3
5.852, 13.1825, dt0
5.852, 13.2111, dt1
5.852, 10.4501, dt2
5.852, 11.2039, dt3
5.853, 13.3078, dt0
5.853, 14.5165, dt1
5.853, 11.0483, dt2
5.853, 10.41, dt3
5.854, 13.3383, dt0
5.854, 13.5327, dt1
5.854, 10.3485, dt2
5.854, 10.8836, dt3
5.855, 13.522, dt0
5.855, 13.4484, dt1
5.855, 9.84788, dt2
5.855, 10.3923, dt3
5.856, 13.6618, dt0
5.856, 14.3233, dt1
5.856, 10.2186, dt2
5.856, 10.7724, dt3
5.857, 13.9544, dt0
5.857, 13.7464, dt1
5.857, 10.2919, dt2
5.857, 10.2097, dt3
5.858, 12.7203, dt0
5.858, 14.0379, dt1
5.858, 11.3634, dt2
5.858, 10.8007, dt3
5.859, 13.461, dt0
5.859, 13.5813, dt1
5.859, 10.122, dt2
5.859, 11.4723, dt3
5.86, 13.0016, dt0
5.86, 14.1694, dt1
5.86, 10.1618, dt2
5.86, 10.7616, dt3
5.861, 14.1344, dt0
5.861, 13.8177, dt1
5.861, 10.191, dt2
5.861, 10.5433, dt3
5.862, 13.7251, dt0
5.862, 14.0217, dt1
5.862, 10.7155, dt2
5.862, 10.027, dt3
5.863, 12.8686, dt0
5.863, 14.0526, dt1
5.863, 10.7162, dt2
5.863, 10.2119, dt3
5.864, 13.3334, dt0
5.864, 14.1131, dt1
5.864, 10.4241, dt2
5.864, 10.7324, dt3
5.865, 13.6295, dt0
5.865, 14.4857, dt1
5.865, 9.76041, dt2
5.865, 11.2038, dt3
5.866, 12.7681, dt0
5.866, 13.9285, dt1
5.866, 10.8739, dt2
5.866, 10.1958, dt3
5.867, 13.7903, dt0
