tVal, mean_neg1, mean_0, mean_1, stderr_neg1, stderr_0, stderr_1
60, 0.003253692123036123, 0.0037173647723604594, -0.0014990514632918885, 0.0006810904765749853, 0.0006861998356575665, 0.0006951274778983858
70, 0.002020039604468593, 0.0027807320432715068, -0.0023413019100113914, 0.0007022869555238689, 0.0006538515625121478, 0.0006243928717773532
80, 0.003783786729919374, 0.00427375627758649, -0.0009135020015926953, 0.0006566512638608052, 0.0006396003803101219, 0.000615179771348366
90, 0.0034792090365486496, 0.003960746117997394, -0.001257251013933489, 0.0005413729906612146, 0.0005146687188244033, 0.0005168500291073891
100, 0.0025830964077926217, 0.003222453603000719, -0.001763959748086755, 0.000590025727422147, 0.0005752237091302568, 0.0005576611711269614
110, 0.0031520786781468395, 0.0036561136263321753, -0.0013770046672144849, 0.0005086563373625788, 0.0005046695567924113, 0.0005160088074700558
120, 0.003739303568536534, 0.004378623485173903, -0.0005992418990966032, 0.00045196167630533505, 0.000452651685227601, 0.0004632849216543858
130, 0.002528372594708982, 0.0031901926963104764, -0.001831776725844323, 0.0005159345697328758, 0.0005077281501148328, 0.0005025133257933492
140, 0.0024170353863253334, 0.0030369767369268297, -0.001898340412046428, 0.0004601947583058573, 0.0004626485667749448, 0.00046197073205501315
150, 0.0021055404843919683, 0.002935424848019323, -0.0019490620735016185, 0.0004963142308831623, 0.0004921195339189467, 0.000493865989375034
160, 0.002184578308693334, 0.0027856988013142876, -0.0022472942126402842, 0.00041098486311099954, 0.0004093379924268874, 0.00040303476012803173
170, 0.0018817479419795508, 0.002623809849566406, -0.0021918320901183246, 0.0004354805104984321, 0.0004350472364055069, 0.0004252119631280063
180, 0.0030415886581198876, 0.003699891557862818, -0.0012239779534041699, 0.00040578857808117573, 0.00039072607302303335, 0.0003810950098545321
190, 0.0032649464840928473, 0.004088342473741334, -0.000716052902657072, 0.00039017334293451006, 0.00037867046473619316, 0.0003748804117087877
200, 0.002776914465995462, 0.0035403136625929057, -0.0013346931248010496, 0.00039571545186386614, 0.00040287764282100123, 0.0004058889347994383
210, 0.0026489191385089934, 0.003314328397330441, -0.0016006194889373823, 0.00038996958512385745, 0.0003846486615785757, 0.00037713143821025384
