tVal, mean_neg1, mean_0, mean_1, stderr_neg1, stderr_0, stderr_1
60, 0.003693116412518982, 0.0045588523357788695, -0.0003905502798285187, 0.0006559537118469478, 0.0006484934127652048, 0.0006092335118548678
70, 0.0019418120350720993, 0.0025811229807322406, -0.0024052958924134695, 0.00065965284886718, 0.0006457492052500066, 0.0006439455788656297
80, 0.00291095322721897, 0.0035142477597109355, -0.0015127683758689215, 0.0006339021293559245, 0.0006440229646327368, 0.0006421792421158445
90, 0.002289382590333351, 0.0030758061078187656, -0.0019310593300169473, 0.0006929826065240238, 0.0006809327313388948, 0.0006639853978094268
100, 0.0025013642369572124, 0.0031152432147510075, -0.0018545833180887955, 0.0005225131730467089, 0.0005143152334081662, 0.0005229979812568671
110, 0.0022478681434555474, 0.0029670676258138533, -0.0019202520175984914, 0.0005470395893354336, 0.0005298441660243561, 0.0005130538658386027
120, 0.0029982022521461583, 0.0036790980398282167, -0.0012048521694264897, 0.00047508827262031605, 0.0004897709400313596, 0.0005061349783635081
130, 0.002644189055375242, 0.003399457469511593, -0.0015599408950441032, 0.00047070938256225817, 0.00047060552571505685, 0.00046305384083124865
140, 0.0030204287431438367, 0.003571393051641347, -0.001395183980496479, 0.0004670308014490445, 0.00046024532492064304, 0.0004627344706394292
150, 0.0026149153594121036, 0.003480288742119374, -0.0011656698309521882, 0.0003963897239921446, 0.00037594296922964445, 0.0003717805089889131
160, 0.0019472438714534697, 0.002599883510617287, -0.002476744207617935, 0.00045320913680250833, 0.0004430798462048465, 0.0004292950178039213
170, 0.002571836776070021, 0.0033103272029534397, -0.0016904115676447493, 0.00041427790995707167, 0.0004258380925353841, 0.0004291800750344088
180, 0.0033274147316203744, 0.004071947498658692, -0.0007554653178128874, 0.0004305938938422361, 0.00041791235144783106, 0.0004078951070152743
190, 0.0023861252584325273, 0.0031477325724958414, -0.001704346884144616, 0.0003885876743101414, 0.00038760239744536836, 0.000380920044588355
200, 0.0028245130503610706, 0.0033860098618209195, -0.001617576802520493, 0.00039364535527433087, 0.0003876821516482946, 0.0003924056525846785
210, 0.0026931282782936172, 0.0035667640285513493, -0.001267013353365137, 0.0003688097661000405, 0.00036560885700906854, 0.0003659228646536781
