tVal, mean_neg1, mean_0, mean_1, stderr_neg1, stderr_0, stderr_1
60.0, 0.004786876187340814, 0.004360890792473913, -0.006027041128946132, 0.0009127665126589885, 0.0008736393328530286, 0.0008591154166120949
70.0, 0.006904573002311328, 0.008737172096759184, -0.00017027342457775574, 0.0007491026421760519, 0.0007297982191667447, 0.0007367337095354639
80.0, 0.0020819349895506677, 0.0019778069319146743, -0.005214736853496471, 0.0006424578240010212, 0.0006319620052645085, 0.0006072846119511072
90.0, 0.0037555935670059493, 0.004735506394530215, -0.0016279948275598072, 0.0005756011127629303, 0.0005615294485388316, 0.0005524582277036703
100.0, 0.00232102207789221, 0.0023473791296060643, -0.003275951054204337, 0.0006362917991466841, 0.0006510935542058094, 0.0006504056838976497
110.0, 0.0019729821510544457, 0.0028058973422620892, -0.0019269387859165736, 0.0005328094887643789, 0.0005444202470680749, 0.0005491690813947185
120.0, 0.0016337360619547961, 0.0018457757579265902, -0.0022439492396963594, 0.00048507814947077463, 0.0004996580821761625, 0.0004988533149143469
130.0, 0.002955039913920579, 0.0033595853338900562, -0.0008049207544233438, 0.0005037895565057029, 0.0005130865032960512, 0.0005199910972183864
140.0, 0.0012271673104135249, 0.0013938134391885137, -0.002190847841798872, 0.000512268998953684, 0.0005076151662840741, 0.0005011659886830675
150.0, 0.0012571965910656944, 0.001833841712492512, -0.0013630510693608084, 0.00044331332042355935, 0.00042030104514601696, 0.0004159609998986288
160.0, 0.0015432312430303438, 0.0015383013526672432, -0.0017081963253389367, 0.00041355059144336504, 0.0004104700808895456, 0.00042067298507797804
170.0, 0.0010248312184903336, 0.001454187055635176, -0.0013844315652352616, 0.0004084385929680562, 0.0003898118059860446, 0.00037687731781166757
180.0, 0.0010534575771159638, 0.0011137218269347362, -0.001664318142314196, 0.00042207245716423665, 0.00042641021471448795, 0.0004366242752336251
190.0, 0.0008002112844196366, 0.0010177397356147693, -0.0016117301758288363, 0.00034809732261478104, 0.000351296636955005, 0.00036418121839455763
200.0, -0.0001500767292131387, -2.8642533953994217e-05, -0.0024073455071860926, 0.00037023401684396155, 0.00036885697326295036, 0.00037084014367738633
210.0, 0.0009564231673280768, 0.0012295447494224954, -0.001118438564634264, 0.00036163811595232647, 0.00035379830903833746, 0.0003407095863647462
